"sale_yr","sale_month","sale_day","bedrooms","bathrooms","sqft_living","sqft_lot","floors","condition","grade","sqft_above","sqft_basement","yr_built","zipcode","lat","long","sqft_living15","sqft_lot15","price"
2015.0,2.0,25.0,2.0,1.0,770.0,10000.0,1.0,3.0,6.0,770.0,0.0,1933.0,98028.0,47.7379,-122.233,2720.0,8062.0,180000.0
2015.0,2.0,18.0,3.0,2.0,1680.0,8080.0,1.0,3.0,8.0,1680.0,0.0,1987.0,98074.0,47.6168,-122.045,1800.0,7503.0,510000.0
2015.0,4.0,15.0,3.0,1.0,1780.0,7470.0,1.0,3.0,7.0,1050.0,730.0,1960.0,98146.0,47.5123,-122.337,1780.0,8113.0,229500.0
2014.0,5.0,27.0,2.0,1.0,1160.0,6000.0,1.0,4.0,7.0,860.0,300.0,1942.0,98115.0,47.69,-122.292,1330.0,6000.0,468000.0
2014.0,5.0,28.0,3.0,1.0,1430.0,19901.0,1.5,4.0,7.0,1430.0,0.0,1927.0,98028.0,47.7558,-122.229,1780.0,12697.0,310000.0
2014.0,10.0,7.0,3.0,1.75,1370.0,9680.0,1.0,4.0,7.0,1370.0,0.0,1977.0,98074.0,47.6127,-122.045,1370.0,10208.0,400000.0
2015.0,3.0,12.0,5.0,2.0,1810.0,4850.0,1.5,3.0,7.0,1810.0,0.0,1900.0,98107.0,47.67,-122.394,1360.0,4850.0,530000.0
2014.0,7.0,31.0,3.0,2.0,1890.0,14040.0,2.0,3.0,7.0,1890.0,0.0,1994.0,98019.0,47.7277,-121.962,1890.0,14018.0,395000.0
2014.0,5.0,29.0,4.0,1.0,1600.0,4300.0,1.5,4.0,7.0,1600.0,0.0,1916.0,98103.0,47.6648,-122.343,1610.0,4300.0,485000.0
2014.0,11.0,3.0,3.0,2.0,1710.0,4697.0,1.5,5.0,6.0,1710.0,0.0,1941.0,98002.0,47.3048,-122.218,1030.0,4705.0,233000.0
2014.0,11.0,10.0,3.0,2.5,2320.0,3980.0,2.0,3.0,8.0,2320.0,0.0,2003.0,98027.0,47.5391,-122.07,2580.0,3980.0,580500.0
2014.0,12.0,1.0,2.0,1.5,1190.0,1265.0,3.0,3.0,7.0,1190.0,0.0,2005.0,98133.0,47.7274,-122.357,1390.0,1756.0,280000.0
