,sale_yr,sale_month,sale_day,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,cluster0,cluster1,cluster2,cluster,price
0,1.0,0.09090909090909091,0.8,0.06060606060606061,0.13333333333333333,0.06548431105047749,0.008098111872134352,0.0,0.5,0.4166666666666667,0.07559055118110236,0.0,0.28695652173913044,0.13636363636363635,0.9361428341643936,0.23500000000000834,0.42401500938086306,0.008633507993837707,0.9562528729438782,0.043743569403886795,3.5328398553247098e-06,0,180000.0
1,1.0,0.09090909090909091,0.5666666666666667,0.09090909090909091,0.26666666666666666,0.18963165075034105,0.006448941868475257,0.0,0.5,0.5833333333333334,0.2188976377952756,0.0,0.7565217391304347,0.3686868686868687,0.741354350973134,0.3916666666666648,0.25140712945590993,0.007981592423318286,0.6523880958557129,0.3475690186023712,4.2858322558458894e-05,0,510000.0
2,1.0,0.2727272727272727,0.4666666666666667,0.09090909090909091,0.13333333333333333,0.20327421555252387,0.005924986815229398,0.0,0.5,0.5,0.11968503937007874,0.22392638036809817,0.5217391304347826,0.7323232323232324,0.573266848962526,0.1483333333333307,0.24765478424015008,0.008692985085244666,0.9370449185371399,0.06295152008533478,3.626887973950943e-06,0,229500.0
3,0.0,0.36363636363636365,0.8666666666666667,0.06060606060606061,0.13333333333333333,0.11869031377899045,0.004662341031177903,0.0,0.75,0.5,0.08976377952755905,0.09202453987730061,0.3652173913043478,0.5757575757575758,0.8590960270226761,0.18583333333333205,0.16322701688555347,0.006228767553030824,0.9310422539710999,0.06895745545625687,1.7497649196229759e-07,0,468000.0
4,0.0,0.36363636363636365,0.9,0.09090909090909091,0.13333333333333333,0.15552523874488403,0.016602503646211804,0.2,0.75,0.5,0.1795275590551181,0.0,0.23478260869565218,0.13636363636363635,0.9649348560398922,0.2383333333333339,0.24765478424015008,0.014038926006999637,0.9410887360572815,0.05890394747257233,7.268975423357915e-06,0,310000.0
5,0.0,0.8181818181818182,0.2,0.09090909090909091,0.23333333333333334,0.14733969986357434,0.007823250204857836,0.0,0.75,0.5,0.1700787401574803,0.0,0.6695652173913044,0.3686868686868687,0.7347595303200841,0.3916666666666648,0.17073170731707318,0.011136210702844289,0.9708120226860046,0.02918800339102745,8.804259543637727e-09,0,400000.0
6,1.0,0.18181818181818182,0.36666666666666664,0.15151515151515152,0.26666666666666666,0.2073669849931787,0.003674556914402923,0.2,0.5,0.5,0.23937007874015748,0.0,0.0,0.5353535353535354,0.8269261701785452,0.10083333333334087,0.16885553470919323,0.0048876174526778105,0.14041964709758759,0.8488757610321045,0.01070457138121128,1,530000.0
7,0.0,0.5454545454545454,1.0,0.09090909090909091,0.26666666666666666,0.21828103683492497,0.011568240421500366,0.4,0.5,0.5,0.25196850393700787,0.0,0.8173913043478261,0.09090909090909091,0.9197362071738762,0.46083333333333,0.2682926829268293,0.015579499296187752,0.9265691637992859,0.07343083620071411,3.622924182877796e-08,0,395000.0
8,0.0,0.36363636363636365,0.9333333333333333,0.12121212121212122,0.13333333333333333,0.17871759890859482,0.0032021384237714114,0.2,0.75,0.5,0.2062992125984252,0.0,0.1391304347826087,0.5151515151515151,0.8185620073990661,0.14333333333334236,0.21575984990619138,0.004246197839465499,0.273914635181427,0.7248267531394958,0.0012586251832544804,1,485000.0
9,0.0,0.9090909090909091,0.06666666666666667,0.09090909090909091,0.26666666666666666,0.1937244201909959,0.0035431386797363388,0.2,1.0,0.4166666666666667,0.22362204724409449,0.0,0.3565217391304348,0.005050505050505051,0.23950458420459755,0.2475000000000088,0.10694183864915573,0.004718515918285474,0.9997101426124573,0.00028981000650674105,2.045535832731482e-12,0,233000.0
10,0.0,0.9090909090909091,0.3,0.09090909090909091,0.3333333333333333,0.27694406548431105,0.0029272767564948953,0.4,0.5,0.5833333333333334,0.31968503937007875,0.0,0.8956521739130435,0.13131313131313133,0.6163744571336608,0.3708333333333386,0.3977485928705441,0.003873008246323791,0.19980420172214508,0.7987171411514282,0.0014787176623940468,1,580500.0
11,0.0,1.0,0.0,0.06060606060606061,0.2,0.12278308321964529,0.0005952472981957049,0.8,0.5,0.5,0.14173228346456693,0.0,0.9130434782608695,0.6666666666666666,0.9192536593212209,0.13166666666665555,0.17448405253283303,0.0012793405739889186,0.9868419766426086,0.013158035464584827,5.2052420151937895e-09,0,280000.0
12,0.0,1.0,0.06666666666666667,0.12121212121212122,0.36666666666666664,0.24147339699863574,0.005228384277225478,0.0,0.5,0.5,0.15590551181102363,0.2392638036809816,0.7043478260869566,0.2878787878787879,0.43702750522759676,0.2983333333333242,0.2926829268292683,0.009400879094735344,0.9942797422409058,0.005720257759094238,1.6112879919205625e-08,0,322500.0
